frequency,energy
872.9492706857318,65.83509441654952
1762.114865486015,61.56248683018344
2642.7395603853124,60.7152548063994
3527.1219693912926,50.96214873997431
4408.66486647762,47.71555028513647
5290.917520499339,48.214904598750465
6176.180302860431,47.873882601689246
7056.2373939720355,43.79176334042339
7945.666469262671,46.180772657595114
8832.057834130535,47.33935740161162
9714.463982713034,43.40713523631524
10604.150458975135,53.48209734664137
11490.248157602911,47.44455203423195
985.9560788071536,66.66447914823948
1977.849469586907,58.58274122225219
2964.0424227967915,62.09941364850674
3956.017894881317,53.07613043496488
4945.7216948474215,49.79288902761077
5938.977803889765,46.17832167180738
6922.144882308387,45.70319307592972
7916.432783346275,47.31348726421105
8908.858748888837,49.14684774032706
9899.382071805418,47.603333205596144
10897.102489481369,42.1299140410721
11894.452354769608,42.36952462101483
12877.05980560645,32.09010048479735
1045.9821072157747,61.51523587673569
2098.8985887426775,59.84789997113991
3133.2242638784774,49.13277818082569
4196.748979970354,53.7273882948518
5245.565089516141,45.556241790907876
6296.5250165241105,40.14687031086987
7354.603460101891,50.85663330659845
8406.9773757304,48.562667134801565
9460.395006216973,46.82105629381083
10506.318668671714,36.39196848676977
11565.970061795057,41.154573387113125
12626.310635046657,37.12758703650765
13682.079081387272,35.90941121251021
1173.3319644283924,58.48891213446677
2354.518874192461,57.361521607156604
3536.9872794855155,47.959293002471185
4713.068119123401,44.37064977834193
5891.903478439664,49.283417882374856
7072.053052360302,41.61874870609044
8262.173157913427,46.68760925317074
9442.198594543914,37.92072326239265
10613.610460195487,34.614177998875086
11811.811422453071,37.95824479444043
13005.575581748044,41.466665661647255
14186.029427674674,27.643038744767367
15395.076144203182,29.395991741340183
587.3883607467112,56.90063905686088
1166.9771730209181,59.10374870353786
1766.9353975131867,62.8724249317754
2355.2533062227967,66.29726441955901
2944.5770750462134,60.15306212257168
3534.366799656463,48.09368768963139
4123.880385072962,41.9114225246457
4712.300579439637,54.863967603102196
5302.297131261881,47.844780608147346
5889.291598720558,44.06395722563041
6475.712580537206,48.34909748383845
7071.151813279383,41.70955895857197
7659.43523947222,39.708485833750785
656.8827390685337,61.374409147318055
1319.087717663202,64.82931471362103
1978.1628233175827,50.86974658046469
2636.799368966399,55.15443983579647
3282.255010426501,43.652752814708634
3958.973426077108,40.940114248220816
4617.9923522214485,49.66424842836667
5278.002978960753,42.55681829137082
5936.745078710942,47.292657718760125
6597.720932349882,47.46669343393309
7256.843134243532,43.539459552449145
7922.688577990893,41.624973922385486
8588.85408829776,38.79862699783172
698.5266361349243,64.81113674513858
1392.7632712127147,56.948344527225046
2103.4285726118096,56.795582434176694
2799.40429219782,60.83142160051263
3501.1951129046606,52.525102162357186
4204.264982544454,41.337188382358974
4905.587252042482,45.18751637673229
5601.937012046546,51.48696615874521
6299.924235358582,50.897074143256404
7002.416962812078,39.774563578359455
7703.081297243076,49.309376551513715
8418.40622070054,43.34714732540759
9112.931232271221,40.406869814491
781.1282817864246,61.18280852390163
1571.8428011359742,55.46278333155925
2339.316017683548,47.06721247382151
3125.7482331621786,44.89495427988027
3910.1289166860297,41.803642472114326
4699.82213708964,37.60498651023368
5485.062560330559,38.77071925335132
6268.953486687258,38.470583935932915
7051.312682733181,42.016463944653296
7842.374087222614,35.64083391800197
8631.60151177817,33.516541063123896
9411.863108428674,37.209118904223345
10199.18735505949,30.782975696076555
438.87513691474544,69.08503249976337
878.084403218277,62.79106651334399
1318.683851342501,62.161340428874716
1759.1992217475567,63.399078336862274
2201.6228912062757,52.84230769632658
2642.1739636330117,56.69314845160515
3082.226590844413,43.19283601885242
3523.191340804671,39.65915443026838
3971.996575174751,44.09525594706384
4420.148542213911,48.902095637751174
4865.152806981903,45.631825405955425
5315.670905120783,45.91387612648987
5771.9152089957615,42.885342464298915
491.8546431284734,67.70776332900702
989.7370289349343,66.62013746798043
1485.9379634892803,64.92021442301666
1982.450402912608,60.26574816295353
2480.7857617247782,47.21480667914129
2971.634675154475,40.45896757301197
3467.868527947628,35.23205657232022
3967.1673577399088,41.203253428378225
4477.37474863921,47.396579036741045
4977.478350666576,39.98439270460359
5487.038542303531,32.67526693904256
5990.851593443114,34.87536316414145
6486.656954376085,33.33412822364877
517.3482517582154,61.29678279791318
1056.678928212096,62.56624434904677
1573.5065140981253,65.08858381571474
2091.2670608538506,50.217903439065665
2626.6085316053022,54.6543272038036
3146.1612605649584,43.51361640895398
3681.911515983023,35.698893631046396
4212.7535834704895,43.547149262941225
